Constituency,W_PARTY,W_Votes,L_PARTY,L_Votes,V_Margin
Manapparai,DMK,98077,AIADMK,85834,12243
Cheyyar,DMK,102460,AIADMK,90189,12271
Vedaranyam,AIADMK,78719,DMK,66390,12329
Hosur,DMK,118231,AIADMK,105864,12367
Kovilpatti,AIADMK,68556,AMMK,56153,12403
Karur,DMK,101757,AIADMK,89309,12448
Bargur,DMK,97256,AIADMK,84642,12614
Mylapore,DMK,68392,AIADMK,55759,12633
Gandarvakkottai,CPIM,69710,AIADMK,56989,12721
Srivilliputhur,AIADMK,70475,INC,57737,12738
Pudukkottai,DMK,85802,AIADMK,72801,13001
Paramakudi,DMK,84864,AIADMK,71579,13285
Tiruvadanai,INC,79364,AIADMK,65512,13852
Thirumangalam,AIADMK,100338,DMK,86251,14087
Manamadurai,DMK,89364,AIADMK,75273,14091
Perundurai,AIADMK,85125,DMK,70618,14507
Villupuram,DMK,102271,AIADMK,87403,14868
Bhavanisagar,AIADMK,99181,CPI,83173,16008
Kanniyakumari,AIADMK,109745,DMK,93532,16213
Papanasam,DMK,86567,AIADMK,70294,16273
Nanguneri,INC,75902,AIADMK,59416,16486
Ranipet,DMK,103291,AIADMK,86793,16498
Ambasamudram,AIADMK,85211,DMK,68296,16915
Chidambaram,AIADMK,91961,IUML,75024,16937
Lalgudi,DMK,84914,AIADMK,67965,16949
Kilvelur,CPIM,67988,PMK,51003,16985
Sholavandan,DMK,84240,AIADMK,67195,17045
Sivakasi,INC,78947,AIADMK,61628,17319
Srivaikuntam,INC,76843,AIADMK,59471,17372
Kurinjipadi,DMK,101456,AIADMK,83929,17527
Vedasandur,DMK,106481,AIADMK,88928,17553
Dindigul,AIADMK,90595,CPIM,72848,17747
